Full_Address,Longitude,Latitude,Zip,REC_TYPE,PIN,OVACLS,CLASS_DESCRIPTION,CURRENT_LAND,CURRENT_BUILDING,CURRENT_TOTAL,ESTIMATED_MARKET_VALUE,PRIOR_LAND,PRIOR_BUILDING,PRIOR_TOTAL,PPRIOR_LAND,PPRIOR_BUILDING,PPRIOR_TOTAL,PPRIOR_YEAR,TOWN,VOLUME,LOC,TAX_CODE,NEIGHBORHOOD,HOUSENO,DIR,STREET,SUFFIX,APT,CITY,RES_TYPE,BLDG_USE,APT_DESC,COMM_UNITS,EXT_DESC,FULL_BATH,HALF_BATH,BSMT_DESC,ATTIC_DESC,AC,FIREPLACE,GAR_DESC,AGE,BUILDING_SQ_FT,LAND_SQ_FT,BLDG_SF,UNITS_TOT,MULTI_SALE,DEED_TYPE,SALE_DATE,SALE_AMOUNT,APPCNT,APPEAL_A,APPEAL_A_STATUS,APPEAL_A_RESULT,APPEAL_A_REASON,APPEAL_A_PIN_RESULT,APPEAL_A_PROPAV,APPEAL_A_CURRAV,APPEAL_A_RESLTDATE
"1838 S LAFLIN ST, CHICAGO, IL",-87.6639737,41.8566646,60608,A-HD,17203090220000,211,"Two to Six Apartments, Over 62 Years                                                         ",5586,32872,38458,384580,4905,30720,35625,4905,30720,35625,2013,77,598,CITY,77001,141,1838,S,LAFLIN ,ST, ,CHICAGO,Two Story        ,Multi Family  ,0,0,Frame     ,2,0,Slab and Unfinished,None,2,0, ,127,2200,2725,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1503 W 19TH ST, CHICAGO, IL",-87.6639582,41.8558333,60608,A-HD,17203170160000,211,"Two to Six Apartments, Over 62 Years                                                         ",6355,42744,49099,490990,5580,46691,52271,5580,46691,52271,2013,77,598,CITY,77001,141,1503,W,19TH ,ST, ,CHICAGO,One Story        ,Multi Family  ,2,0,Masonry    ,2,0,Full and Apartment,None,2,0, ,107,2617,3100,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1500 W 17TH ST, CHICAGO, IL",-87.6639513,41.8590986,60608,A-HD,17203000200000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2455,53031,55486,554860,2455,53031,55486,2455,53031,55486,2013,77,598,CITY,77001,141,1500,W,17TH ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,132,0,2976,0,0,0,1,6/1/1997,180000,0,0,                  ,,0,,0,0,     
"1500 W 18TH ST, CHICAGO, IL",-87.6639305,41.858124,60608,A-HD,17203020420000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2529,56350,58879,588790,2529,56350,58879,2529,56350,58879,2013,77,598,CITY,77001,141,1500,W,18TH ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,124,0,2976,0,0,0,2,8/1/2002,425000,1,95693,Appeal Review Complete       ,Assessed Value Not Adjusted,18,Assessed Value Not Adjusted,58879,58879,10/19/2015
"1500 W 19TH ST, CHICAGO, IL",-87.6638823,41.8562795,60608,A-HD,17203090410000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2557,37153,39710,397100,2557,33779,36336,2557,33779,36336,2013,77,598,CITY,77001,141,1500,W,19TH ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,127,0,3100,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1458 W 18TH ST, CHICAGO, IL",-87.6636032,41.8580946,60608,A-HD,17203030210000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2635,58697,61332,613320,2635,53048,55683,2635,41643,44278,2013,77,598,CITY,77001,141,1458,W,18TH ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,132,0,3100,0,0,0,1,7/1/2002,460000,1,106424,Appeal Review Complete       ,Assessed Value Not Adjusted,18,Assessed Value Not Adjusted,61332,61332,10/19/2015
"1819 S LAFLIN ST, CHICAGO, IL",-87.6635275,41.8572328,60608,A-HD,17203100080000,211,"Two to Six Apartments, Over 62 Years                                                         ",5125,32649,37774,377740,4500,27678,32178,4500,27678,32178,2013,77,598,CITY,77001,141,1819,S,LAFLIN ,ST, ,CHICAGO,Two Story        ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,125,1722,2500,     ,        ,0,1,1/1/1991,18000,0,0,                  ,,0,,0,0,     
"1456 W 18TH ST, CHICAGO, IL",-87.6635049,41.8580682,60608,A-HD,17203030220000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",6355,39215,45570,455700,5580,18441,24021,5580,18441,24021,2013,77,598,CITY,77001,141,1456,W,18TH ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,1,Masonry    ,6,0,Partial and Unfinished, ,2,0,1 1/2 Car Detached,124,9408,3100,     ,        ,0,1,11/1/2010,319000,1,100646,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,45570,45570,10/19/2015
"1843 S LAFLIN ST, CHICAGO, IL",-87.6634999,41.8565623,60608,A-HD,17203100180000,211,"Two to Six Apartments, Over 62 Years                                                         ",5125,35116,40241,402410,4500,37119,41619,4500,37119,41619,2013,77,598,CITY,77001,141,1843,S,LAFLIN ,ST,1,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Full and Unfinished,None,2,0, ,122,3696,2500,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1920 S BLUE ISLAND AVE, CHICAGO, IL",-87.6634878,41.8554143,60608,A-HD,17203200070000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",2573,41111,43684,436840,2573,41111,43684,2573,41111,43684,2013,77,598,CITY,77001,141,1920,S,BLUE ISLAND ,AVE, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,137,0,2394,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1801 S LAFLIN ST, CHICAGO, IL",-87.6634581,41.8577157,60608,A-HD,17203100010000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",5125,30918,36043,360430,4500,18947,23447,4500,18947,23447,2013,77,598,CITY,77001,141,1801,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,2,Masonry    ,6,3,Partial and Unfinished, ,2,0, ,124,7500,2500,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1711 S LAFLIN ST, CHICAGO, IL",-87.6633574,41.8583504,60608,A-HD,17203030050000,211,"Two to Six Apartments, Over 62 Years                                                         ",5362,41289,46651,466510,4708,37617,42325,4708,37617,42325,2013,77,598,CITY,77001,141,1711,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Full and Unfinished,None,2,0, ,122,2553,2616,     ,        ,0,1,6/1/2008,385000,1,6084228,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,50432,46651,10/19/2015
"2005 S BLUE ISLAND AVE, CHICAGO, IL",-87.6632505,41.8549363,60608,A-HD,17203220020000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",6248,28830,35078,350780,5486,17441,22927,5486,17441,22927,2013,77,598,CITY,77021,141,2005,S,BLUE ISLAND ,AVE, ,CHICAGO,Three Story       ,Multi Family  ,3,1,Masonry    ,3,0,Partial and Unfinished, ,2,0, ,114,7356,3048,     ,        ,0,1,12/1/1999,237000,0,0,                  ,,0,,0,0,     
"1929 S BLUE ISLAND AVE, CHICAGO, IL",-87.6629972,41.8553449,60608,A-HD,17203210090000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",6848,62018,68866,688660,6848,57639,64487,6848,57639,64487,2013,77,598,CITY,77001,141,1929,S,BLUE ISLAND ,AVE, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,132,0,6371,0,0,0,0,     ,0,1,96686,Appeal Review Complete       ,Assessed Value Not Adjusted,18,Assessed Value Not Adjusted,68866,68866,10/19/2015
"1870 S BLUE ISLAND AVE, CHICAGO, IL",-87.6629748,41.8562114,60608,A-HD,17203110070000,318,"Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ",3977,75716,79693,796930,3977,75716,79693,3977,75716,79693,2013,77,598,CITY,77001,141,1870,S,BLUE ISLAND ,AVE, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,114,0,3700,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
