Full_Address,Longitude,Latitude,Zip,REC_TYPE,PIN,OVACLS,CLASS_DESCRIPTION,CURRENT_LAND,CURRENT_BUILDING,CURRENT_TOTAL,ESTIMATED_MARKET_VALUE,PRIOR_LAND,PRIOR_BUILDING,PRIOR_TOTAL,PPRIOR_LAND,PPRIOR_BUILDING,PPRIOR_TOTAL,PPRIOR_YEAR,TOWN,VOLUME,LOC,TAX_CODE,NEIGHBORHOOD,HOUSENO,DIR,STREET,SUFFIX,APT,CITY,RES_TYPE,BLDG_USE,APT_DESC,COMM_UNITS,EXT_DESC,FULL_BATH,HALF_BATH,BSMT_DESC,ATTIC_DESC,AC,FIREPLACE,GAR_DESC,AGE,BUILDING_SQ_FT,LAND_SQ_FT,BLDG_SF,UNITS_TOT,MULTI_SALE,DEED_TYPE,SALE_DATE,SALE_AMOUNT,APPCNT,APPEAL_A,APPEAL_A_STATUS,APPEAL_A_RESULT,APPEAL_A_REASON,APPEAL_A_PIN_RESULT,APPEAL_A_PROPAV,APPEAL_A_CURRAV,APPEAL_A_RESLTDATE
"210 N JUSTINE ST, CHICAGO, IL",-87.6656355,41.8857718,60607,A-HD,17083150310000,211,"Two to Six Apartments, Over 62 Years                                                         ",15000,44582,59582,595820,12500,44601,57101,12500,44601,57101,2013,77,590,CITY,77020,131,210,N,JUSTINE ,ST, ,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,2,0,Partial and Unfinished,None,2,0, ,127,3007,5000,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1529 W TAYLOR ST, CHICAGO, IL",-87.6654184,41.8690534,60607,A-HD,17173240300000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",38115,92160,130275,1302750,31762,90141,121903,31762,90141,121903,2013,77,592,CITY,77002,132,1529,W,TAYLOR ,ST, ,CHICAGO,Two Story        ,Multi Family  ,2,1,Frame/Masonry ,3,0,Slab and Unfinished,None,1,0,2 1/2 Cars Attched,16,14243,12705,     ,        ,0,0,     ,0,1,114666,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,137442,130275,10/19/2015
"1523 W TAYLOR ST, CHICAGO, IL",-87.6650774,41.8690757,60607,A-HD,17173240160000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7560,38241,45801,458010,6300,35470,41770,6300,35470,41770,2013,77,592,CITY,77002,132,1523,W,TAYLOR ,ST, ,CHICAGO,Two Story        ,Multi Family  ,3,1,Masonry    ,3,0,Partial and Unfinished, ,2,0, ,129,2100,2520,     ,        ,0,0,     ,0,1,103180,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,53780,50458,12/4/2015
"1521 W TAYLOR ST, CHICAGO, IL",-87.6649857,41.8690738,60607,A-HD,17173240170000,211,"Two to Six Apartments, Over 62 Years                                                         ",7875,34571,42446,424460,6562,34843,41405,6562,34843,41405,2013,77,592,CITY,77002,132,1521,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,1,0, ,132,3396,2625,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1519 W TAYLOR ST, CHICAGO, IL",-87.6648952,41.8690754,60607,A-HD,17173240180000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7875,55476,63351,633510,6562,48657,55219,6562,48657,55219,2013,77,592,CITY,77002,132,1519,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,1,Masonry    ,2,0,Partial and Unfinished, ,1,0,2 Cars Detached,129,3627,2625,     ,        ,0,1,4/26/1995,210000,0,0,                  ,,0,,0,0,     
"1516 W TAYLOR ST, CHICAGO, IL",-87.6648825,41.8694949,60607,A-HD,17173160420000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7632,78936,86568,865680,6360,28797,35157,6360,28797,35157,2013,77,592,CITY,77002,132,1516,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,4,1,Masonry    ,4,1,Full and Apartment,None,2,0, ,122,4971,2544,     ,        ,0,1,1/1/2014,865000,1,100049,Appeal Review Complete       ,Assessed Value Not Adjusted,27,Assessed Value Not Adjusted,86568,86568,10/19/2015
"1513 W HARRISON ST, CHICAGO, IL",-87.664821,41.873856,60607,A-HD,17171230450000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",6001,61569,67570,675700,6001,61569,67570,6001,61569,67570,2013,77,591,CITY,77002,132,1513,W,HARRISON ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,37,0,76576,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1517 W TAYLOR ST, CHICAGO, IL",-87.6648002,41.8690782,60607,A-HD,17173240190000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7875,52421,60296,602960,6562,44872,51434,6562,44872,51434,2013,77,592,CITY,77002,132,1517,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,1,Masonry    ,2,1,Partial and Unfinished, ,2,0, ,129,4152,2625,     ,        ,0,2,10/1/2004,460000,0,0,                  ,,0,,0,0,     
"1514 W TAYLOR ST, CHICAGO, IL",-87.6647942,41.8694922,60607,A-HD,17173160430000,211,"Two to Six Apartments, Over 62 Years                                                         ",7632,36787,44419,444190,6360,33537,39897,6360,33537,39897,2013,77,592,CITY,77002,132,1514,W,TAYLOR ,ST,1,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,122,3075,2544,     ,        ,0,2,6/1/2001,430000,0,0,                  ,,0,,0,0,     
"1512 W POLK ST, CHICAGO, IL",-87.6647903,41.8718445,60607,A-HD,17173010320000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,41414,50789,507890,7812,39334,47146,7812,39334,47146,2013,77,592,CITY,77002,132,1512,W,POLK ,ST, ,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,2,2,Full and Unfinished,None,1,2,2 Cars Detached,19,2292,3125,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1512 W TAYLOR ST, CHICAGO, IL",-87.6647069,41.8694913,60607,A-HD,17173160440000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7632,48096,55728,557280,6360,41622,47982,6360,41622,47982,2013,77,592,CITY,77002,132,1512,W,TAYLOR ,ST, ,CHICAGO,Two Story        ,Multi Family  ,3,1,Masonry    ,3,0,Partial and Unfinished, ,1,0,2 Cars Detached,129,2080,2544,     ,        ,0,2,3/1/2001,415000,0,0,                  ,,0,,0,0,     
"1513 W TAYLOR ST, CHICAGO, IL",-87.6647032,41.8690806,60607,A-HD,17173240200000,211,"Two to Six Apartments, Over 62 Years                                                         ",7875,46808,54683,546830,6562,40597,47159,6562,40597,47159,2013,77,592,CITY,77002,132,1513,W,TAYLOR ,ST, ,CHICAGO,Two Story        ,Multi Family  ,4,0,Masonry    ,4,0,Full and Unfinished,None,1,0, ,22,3160,2625,     ,        ,0,2,8/27/1994,383000,0,0,                  ,,0,,0,0,     
"1511 W TAYLOR ST, CHICAGO, IL",-87.6646183,41.8690946,60607,A-HD,17173240210000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7875,52758,60633,606330,6562,46024,52586,6562,46024,52586,2013,77,592,CITY,77002,132,1511,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,1,Masonry    ,3,0,Partial and Unfinished, ,2,0, ,129,4500,2625,     ,        ,0,0,     ,0,1,106735,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,62619,60633,12/4/2015
"1509 W TAYLOR ST, CHICAGO, IL",-87.6645272,41.8690723,60607,A-HD,17173240220000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7875,61058,68933,689330,6562,48837,55399,6562,48837,55399,2013,77,592,CITY,77002,132,1509,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,5,1,Masonry    ,5,1,Partial and Unfinished, ,2,0, ,112,5208,2625,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"716 S LAFLIN ST, CHICAGO, IL",-87.664521,41.8723198,60607,A-HD,17173010260000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",8925,43059,51984,519840,8925,43059,51984,8925,43059,51984,2013,77,592,CITY,77002,132,716,S,LAFLIN ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,117,0,3500,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1506 W POLK ST, CHICAGO, IL",-87.6645206,41.8719059,60607,A-HD,17173010350000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,45908,55283,552830,7812,41237,49049,7812,41237,49049,2013,77,592,CITY,77002,132,1506,W,POLK ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,0,Masonry    ,6,0,Full and Apartment,None,2,0, ,117,6198,3125,     ,        ,0,2,5/1/2005,917500,1,99155,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,57225,55283,10/19/2015
"720 S LAFLIN ST, CHICAGO, IL",-87.6645124,41.8722341,60607,A-HD,17173010270000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",8925,43059,51984,519840,8925,43059,51984,8925,43059,51984,2013,77,592,CITY,77002,132,720,S,LAFLIN ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,117,0,3500,0,0,0,2,1/1/1999,550000,1,91484,Appeal Review Complete       ,Assessed Value Not Adjusted,18,Assessed Value Not Adjusted,51984,51984,10/19/2015
"704 S LAFLIN ST, CHICAGO, IL",-87.66448,41.872642,60607,A-HD,17173010220000,211,"Two to Six Apartments, Over 62 Years                                                         ",7500,48110,55610,556100,6250,37478,43728,6250,37478,43728,2013,77,592,CITY,77002,132,704,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,0,Masonry    ,6,0,Full and Unfinished,None,2,0, ,127,5286,2500,     ,        ,1,0,12/1/2015,2300000,0,0,                  ,,0,,0,0,     
"700 S LAFLIN ST, CHICAGO, IL",-87.6644757,41.872697,60607,A-HD,17173010210000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",12750,32598,45348,453480,12750,30072,42822,12750,30072,42822,2013,77,592,CITY,77002,132,700,S,LAFLIN ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,107,0,5000,0,0,0,0,     ,0,1,97511,Appeal Review Complete       ,Assessed Value Adjusted,11,Assessed Value Adjusted,63079,45348,10/19/2015
"708 S LAFLIN ST, CHICAGO, IL",-87.6644596,41.87249,60607,A-HD,17173010240000,211,"Two to Six Apartments, Over 62 Years                                                         ",7500,48348,55848,558480,6250,38364,44614,6250,38364,44614,2013,77,592,CITY,77002,132,708,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,0,Masonry    ,6,0,Full and Unfinished,None,2,0, ,127,5544,2500,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1507 W TAYLOR ST, CHICAGO, IL",-87.6644326,41.8690798,60607,A-HD,17173240230000,211,"Two to Six Apartments, Over 62 Years                                                         ",7875,34792,42667,426670,6562,27329,33891,6562,29948,36510,2013,77,592,CITY,77002,132,1507,W,TAYLOR ,ST,C ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0,2 Cars Detached,127,3273,2625,     ,        ,0,0,     ,0,1,91101,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,47905,47905,10/19/2015
"1502 W POLK ST, CHICAGO, IL",-87.6644178,41.8719134,60607,A-HD,17173010360000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,45841,55216,552160,7812,41237,49049,7812,41237,49049,2013,77,592,CITY,77002,132,1502,W,POLK ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,0,Masonry    ,6,0,Full and Unfinished,None,2,0, ,117,6189,3125,     ,        ,0,1,6/1/2006,1000000,1,109958,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,57221,55216,10/19/2015
"1503 W TAYLOR ST, CHICAGO, IL",-87.6643425,41.8690971,60607,A-HD,17173240240000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7875,53461,61336,613360,6562,43320,49882,6562,43320,49882,2013,77,592,CITY,77002,132,1503,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,5,1,Masonry    ,5,1,Partial and Unfinished, ,2,0, ,134,4560,2625,     ,        ,0,0,     ,0,1,106736,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,67375,61336,12/4/2015
"1500 W POLK ST, CHICAGO, IL",-87.6643289,41.8719093,60607,A-HD,17173010370000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",7968,55033,63001,630010,7968,55033,63001,7968,55033,63001,2013,77,592,CITY,77002,132,1500,W,POLK ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,122,0,3125,0,0,0,1,8/1/2002,800000,1,91485,Appeal Review Complete       ,Assessed Value Not Adjusted,18,Assessed Value Not Adjusted,63001,63001,10/19/2015
"1500 W TAYLOR ST, CHICAGO, IL",-87.6642436,41.8695487,60607,A-HD,17173160480000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",15582,61491,77073,770730,12985,47966,60951,12985,47966,60951,2013,77,592,CITY,77002,132,1500,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,4,1,Frame/Masonry ,8,0,Partial and Unfinished,None,1,0, ,122,14169,5194,     ,        ,0,0,     ,0,1,107328,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,77073,77073,10/19/2015
"1501 W TAYLOR ST, CHICAGO, IL",-87.6642419,41.8690612,60607,A-HD,17173240250000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",7938,45205,53143,531430,6615,40053,46668,6615,40053,46668,2013,77,592,CITY,77002,132,1501,W,TAYLOR ,ST,2,CHICAGO,Two Story        ,Multi Family  ,2,1,Masonry    ,2,0,Partial and Unfinished,None,1,0,1 1/2 Car Attached,137,1987,2646,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"701 S LAFLIN ST, CHICAGO, IL",-87.663973,41.8726416,60607,A-HD,17173030260000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",16085,57384,73469,734690,16085,57135,73220,16085,57135,73220,2013,77,592,CITY,77002,132,701,S,LAFLIN ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,112,0,6308,0,0,0,0,     ,0,1,86502,Appeal Review Complete       ,Assessed Value Adjusted,11,Assessed Value Adjusted,87551,73469,10/19/2015
"725 S LAFLIN ST, CHICAGO, IL",-87.6639715,41.8722495,60607,A-HD,17173040010000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",12943,62092,75035,750350,12943,62092,75035,12943,62092,75035,2013,77,592,CITY,77002,132,725,S,LAFLIN ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,116,0,5076,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"1454 W POLK ST, CHICAGO, IL",-87.6639605,41.871905,60607,A-HD,17173040230000,315,"Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ",12987,60737,73724,737240,12987,60737,73724,12987,60737,73724,2013,77,592,CITY,77002,132,1454,W,POLK ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,115,0,5093,0,0,0,0,     ,0,0,0,                  ,,0,,0,0,     
"637 S LAFLIN ST, CHICAGO, IL",-87.6639305,41.873117,60607,A-HD,17173030460000,314,"Two or three story non-frprf. crt. and corridor apts or california type apts, no corridors, ex. entrance                       ",15682,87454,103136,1031360,15682,72540,88222,15682,72540,88222,2013,77,592,CITY,77002,132,637,S,LAFLIN ,ST, ,CHICAGO,             ,,        , ,        ,0,0, , ,0,0, ,44,0,6150,12216,16,0,0,     ,0,1,104113,Appeal Review Complete       ,Assessed Value Adjusted,11,Assessed Value Adjusted,113493,103136,12/4/2015
"1458 W TAYLOR ST, CHICAGO, IL",-87.663926,41.8694948,60607,A-HD,17173170650000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",6057,38176,44233,442330,3432,41068,44500,3432,51074,54506,2013,77,592,CITY,77002,132,1458,W,TAYLOR ,ST, ,CHICAGO,             ,Multi Family  ,0,0,        ,0,0, , ,0,0, ,140,0,2019,     ,        ,0,0,     ,0,1,91502,Appeal Review Complete       ,Assessed Value Adjusted,3,Assessed Value Adjusted,54506,44233,10/19/2015
"1459 W TAYLOR ST, CHICAGO, IL",-87.6639011,41.8691054,60607,A-HD,17173250010000,212,"Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ",11235,65266,76501,765010,9362,47791,57153,9362,47791,57153,2013,77,592,CITY,77002,132,1459,W,TAYLOR ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,1,Masonry    ,6,2,Partial and Unfinished, ,2,0, ,136,7191,3745,     ,        ,0,1,10/1/2011,1206183,1,6084754,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,76501,76501,10/19/2015
"929 S LAFLIN ST, CHICAGO, IL",-87.663886,41.8697116,60607,A-HD,17173170630000,211,"Two to Six Apartments, Over 62 Years                                                         ",7407,69578,76985,769850,6172,79878,86050,6172,79878,86050,2013,77,592,CITY,77002,132,929,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,2,0,Masonry    ,3,0,Full and Unfinished,None,2,0, ,147,2772,2469,     ,        ,0,2,4/1/2014,800000,0,0,                  ,,0,,0,0,     
"825 S LAFLIN ST, CHICAGO, IL",-87.6638559,41.8709124,60607,A-HD,17173170610000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,39252,48627,486270,7812,31248,39060,7812,33290,41102,2013,77,592,CITY,77002,132,825,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,1,Masonry    ,3,0,Full and Unfinished,None,2,0, ,145,3783,3125,     ,        ,0,0,     ,0,1,88966,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,48627,48627,10/19/2015
"829 S LAFLIN ST, CHICAGO, IL",-87.6638536,41.8707727,60607,A-HD,17173170090000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,33534,42909,429090,7812,32371,40183,7812,32371,40183,2013,77,592,CITY,77002,132,829,S,LAFLIN ,ST,1,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,2,0,Full and Unfinished,None,2,0, ,147,2464,3125,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"827 S LAFLIN ST, CHICAGO, IL",-87.6638527,41.8708416,60607,A-HD,17173170620000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,36379,45754,457540,7812,32947,40759,7812,32947,40759,2013,77,592,CITY,77002,132,827,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Partial and Unfinished,None,1,0, ,145,3432,3125,     ,        ,0,1,10/1/2002,644000,1,6086556,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,49158,47504,10/19/2015
"821 S LAFLIN ST, CHICAGO, IL",-87.6638519,41.8709847,60607,A-HD,17173170070000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,30658,40033,400330,7812,32086,39898,7812,32086,39898,2013,77,592,CITY,77002,132,821,S,LAFLIN ,ST,HSE ,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,2,0,Full and Unfinished,None,2,0, ,147,2384,3125,     ,        ,0,2,3/1/1995,75000,1,6102437,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,42578,42578,10/19/2015
"819 S LAFLIN ST, CHICAGO, IL",-87.6638506,41.8710445,60607,A-HD,17173170060000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,31091,40466,404660,7812,31684,39496,7812,32617,40429,2013,77,592,CITY,77002,132,819,S,LAFLIN ,ST, ,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,2,0,Full and Unfinished,None,2,0, ,147,2536,3125,     ,        ,0,0,     ,0,1,96714,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,43196,43196,10/19/2015
"919 S LAFLIN ST, CHICAGO, IL",-87.6638446,41.8699563,60607,A-HD,17173170210000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,39627,49002,490020,7812,36716,44528,7812,36716,44528,2013,77,592,CITY,77002,132,919,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Full and Unfinished,None,2,0, ,149,3996,3125,     ,        ,0,0,     ,0,0,0,                  ,,0,,0,0,     
"925 S LAFLIN ST, CHICAGO, IL",-87.6638443,41.8698501,60607,A-HD,17173170220000,211,"Two to Six Apartments, Over 62 Years                                                         ",18750,42289,61039,610390,15625,52253,67878,15625,52253,67878,2013,77,592,CITY,77002,132,925,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,0,Masonry    ,6,0,Full and Formal Rec. Room,None,2,0, ,73,9750,6250,     ,        ,0,1,12/1/1997,625000,0,0,                  ,,0,,0,0,     
"1454 W FILLMORE ST, CHICAGO, IL",-87.6638418,41.8688549,60607,A-HD,17173250370000,211,"Two to Six Apartments, Over 62 Years                                                         ",28890,62511,91401,914010,24075,50178,74253,24075,50178,74253,2013,77,592,CITY,77002,132,1454,W,FILLMORE ,ST, ,CHICAGO,Two Story        ,Multi Family  ,6,0,Masonry    ,6,0,Full and Unfinished,None,2,0, ,138,6696,9630,     ,        ,0,0,     ,0,1,97998,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,91401,91401,10/19/2015
"831 S LAFLIN ST, CHICAGO, IL",-87.6638406,41.8707093,60607,A-HD,17173170100000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,37665,47040,470400,7812,36838,44650,7812,36838,44650,2013,77,592,CITY,77002,132,831,S,LAFLIN ,ST, ,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,3,0,Full and Apartment,None,1,0,2 Cars Detached,147,3759,3125,     ,        ,0,1,11/5/1999,410000,0,0,                  ,,0,,0,0,     
"817 S LAFLIN ST, CHICAGO, IL",-87.6638397,41.8711199,60607,A-HD,17173170050000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,34125,43500,435000,7812,31872,39684,7812,34044,41856,2013,77,592,CITY,77002,132,817,S,LAFLIN ,ST,1,CHICAGO,Two Story        ,Multi Family  ,2,0,Masonry    ,2,0,Full and Unfinished,None,2,0,2 Cars Detached,148,2560,3125,     ,        ,0,2,1/1/2005,400000,1,97684,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,44853,44853,10/19/2015
"917 S LAFLIN ST, CHICAGO, IL",-87.663834,41.8700229,60607,A-HD,17173170200000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,40949,50324,503240,7812,37699,45511,7812,37699,45511,2013,77,592,CITY,77002,132,917,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0,2 Cars Detached,148,5231,3125,     ,        ,0,1,6/23/1992,118000,0,0,                  ,,0,,0,0,     
"835 S LAFLIN ST, CHICAGO, IL",-87.6638257,41.8706341,60607,A-HD,17173170110000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,37390,46765,467650,7812,31323,39135,7812,31323,39135,2013,77,592,CITY,77002,132,835,S,LAFLIN ,ST,1ST ,CHICAGO,Three Story       ,Multi Family  ,4,0,Masonry    ,4,0,Full and Apartment,None,2,0, ,127,3180,3125,     ,        ,0,0,     ,0,1,98027,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,49121,46765,10/19/2015
"905 S LAFLIN ST, CHICAGO, IL",-87.6638096,41.8703632,60607,A-HD,17173170150000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,31859,41234,412340,7812,30499,38311,7812,30499,38311,2013,77,592,CITY,77002,132,905,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,149,2181,3125,     ,        ,0,0,     ,0,1,98005,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,41234,41234,10/19/2015
"901 S LAFLIN ST, CHICAGO, IL",-87.6638089,41.8704332,60607,A-HD,17173170140000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,31859,41234,412340,7812,30499,38311,7812,30499,38311,2013,77,592,CITY,77002,132,901,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,149,2181,3125,     ,        ,0,0,     ,0,1,98005,Appeal Review Complete       ,Assessed Value Not Adjusted,16,Assessed Value Not Adjusted,41234,41234,10/19/2015
"907 S LAFLIN ST, CHICAGO, IL",-87.6638047,41.8702893,60607,A-HD,17173170160000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,30376,39751,397510,7812,28653,36465,7812,28653,36465,2013,77,592,CITY,77002,132,907,S,LAFLIN ,ST,2,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,149,2181,3125,     ,        ,1,2,11/1/1998,189289,1,85961,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,41234,39751,12/4/2015
"1452 W LEXINGTON ST, CHICAGO, IL",-87.6638047,41.8727197,60607,A-HD,17173030270000,211,"Two to Six Apartments, Over 62 Years                                                         ",8325,49548,57873,578730,6937,40613,47550,6937,40613,47550,2013,77,592,CITY,77002,132,1452,W,LEXINGTON ,ST, ,CHICAGO,Three Story       ,Multi Family  ,6,0,Masonry    ,6,0,Full and Unfinished,None,2,0, ,112,5628,2775,     ,        ,0,2,5/1/1997,320000,0,0,                  ,,0,,0,0,     
"909 S LAFLIN ST, CHICAGO, IL",-87.6638023,41.8702324,60607,A-HD,17173170170000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,30376,39751,397510,7812,28653,36465,7812,28653,36465,2013,77,592,CITY,77002,132,909,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,145,2181,3125,     ,        ,1,2,11/1/1998,197711,1,85961,Appeal Review Complete       ,Assessed Value Adjusted,1,Assessed Value Adjusted,41304,39751,12/4/2015
"911 S LAFLIN ST, CHICAGO, IL",-87.6638006,41.8701535,60607,A-HD,17173170180000,211,"Two to Six Apartments, Over 62 Years                                                         ",9375,29422,38797,387970,7812,27306,35118,7812,27306,35118,2013,77,592,CITY,77002,132,911,S,LAFLIN ,ST, ,CHICAGO,Three Story       ,Multi Family  ,3,0,Masonry    ,3,0,Slab and Unfinished,None,2,0, ,135,2181,3125,     ,        ,0,1,9/1/1994,80000,0,0,                  ,,0,,0,0,     
